A | סופרמרקט | department | depth 0 | path A | pathHe סופרמרקט | url https://www.shufersal.co.il/online/he/A
A041002 | פירות טריים | leaf | parent A0410 פירות וירקות | depth 6 | path A>A24>A04>A2415>A2403>A0410>A041002 | pathHe סופרמרקט > רשימות > פירות וירקות > ערב גבינות ויין טוב > יצאנו לפיקניק > פירות וירקות > פירות טריים | url https://www.shufersal.co.il/online/he/c/A041002
A2406 | בא לי להכין פלאפל עם הילדים | depth3 | parent A04 פירות וירקות | depth 3 | path A>A24>A04>A2406 | pathHe סופרמרקט > רשימות > פירות וירקות > בא לי להכין פלאפל עם הילדים | url https://www.shufersal.co.il/online/he/c/A2406
A0410 | פירות וירקות | depth4 | parent A2406 בא לי להכין פלאפל עם הילדים | depth 4 | path A>A24>A04>A2406>A0410 | pathHe סופרמרקט > רשימות > פירות וירקות > בא לי להכין פלאפל עם הילדים > פירות וירקות | url https://www.shufersal.co.il/online/he/c/A0410
A041002 | פירות טריים | leaf | parent A0410 פירות וירקות | depth 5 | path A>A24>A04>A2406>A0410>A041002 | pathHe סופרמרקט > רשימות > פירות וירקות > בא לי להכין פלאפל עם הילדים > פירות וירקות > פירות טריים | url https://www.shufersal.co.il/online/he/c/A041002
A2416 | פותחים פיצריה בבית | depth3 | parent A04 פירות וירקות | depth 3 | path A>A24>A04>A2416 | pathHe סופרמרקט > רשימות > פירות וירקות > פותחים פיצריה בבית | url https://www.shufersal.co.il/online/he/c/A2416
A2402 | החברים באים להמבורגרים | depth4 | parent A2416 פותחים פיצריה בבית | depth 4 | path A>A24>A04>A2416>A2402 | pathHe סופרמרקט > רשימות > פירות וירקות > פותחים פיצריה בבית > החברים באים להמבורגרים | url https://www.shufersal.co.il/online/he/c/A2402
A0410 | פירות וירקות | depth5 | parent A2402 החברים באים להמבורגרים | depth 5 | path A>A24>A04>A2416>A2402>A0410 | pathHe סופרמרקט > רשימות > פירות וירקות > פותחים פיצריה בבית > החברים באים להמבורגרים > פירות וירקות | url https://www.shufersal.co.il/online/he/c/A0410
A041001 | ירקות טריים | leaf | parent A0410 פירות וירקות | depth 6 | path A>A24>A04>A2416>A2402>A0410>A041001 | pathHe סופרמרקט > רשימות > פירות וירקות > פותחים פיצריה בבית > החברים באים להמבורגרים > פירות וירקות > ירקות טריים | url https://www.shufersal.co.il/online/he/c/A041001
A2409 | Finger Food | depth3 | parent A04 פירות וירקות | depth 3 | path A>A24>A04>A2409 | pathHe סופרמרקט > רשימות > פירות וירקות > Finger Food | url https://www.shufersal.co.il/online/he/c/A2409
A0410 | פירות וירקות | depth4 | parent A2409 Finger Food | depth 4 | path A>A24>A04>A2409>A0410 | pathHe סופרמרקט > רשימות > פירות וירקות > Finger Food > פירות וירקות | url https://www.shufersal.co.il/online/he/c/A0410
A041001 | ירקות טריים | leaf | parent A0410 פירות וירקות | depth 5 | path A>A24>A04>A2409>A0410>A041001 | pathHe סופרמרקט > רשימות > פירות וירקות > Finger Food > פירות וירקות > ירקות טריים | url https://www.shufersal.co.il/online/he/c/A041001
A2420 | חריף אש | depth3 | parent A04 פירות וירקות | depth 3 | path A>A24>A04>A2420 | pathHe סופרמרקט > רשימות > פירות וירקות > חריף אש | url https://www.shufersal.co.il/online/he/c/A2420
A0410 | פירות וירקות | depth4 | parent A2420 חריף אש | depth 4 | path A>A24>A04>A2420>A0410 | pathHe סופרמרקט > רשימות > פירות וירקות > חריף אש > פירות וירקות | url https://www.shufersal.co.il/online/he/c/A0410
A041001 | ירקות טריים | leaf | parent A0410 פירות וירקות | depth 5 | path A>A24>A04>A2420>A0410>A041001 | pathHe סופרמרקט > רשימות > פירות וירקות > חריף אש > פירות וירקות > ירקות טריים | url https://www.shufersal.co.il/online/he/c/A041001
A2402 | החברים באים להמבורגרים | depth3 | parent A04 פירות וירקות | depth 3 | path A>A24>A04>A2402 | pathHe סופרמרקט > רשימות > פירות וירקות > החברים באים להמבורגרים | url https://www.shufersal.co.il/online/he/c/A2402
A0410 | פירות וירקות | depth4 | parent A2402 החברים באים להמבורגרים | depth 4 | path A>A24>A04>A2402>A0410 | pathHe סופרמרקט > רשימות > פירות וירקות > החברים באים להמבורגרים > פירות וירקות | url https://www.shufersal.co.il/online/he/c/A0410
