A | סופרמרקט | department | depth 0 | path A | pathHe סופרמרקט | url https://www.shufersal.co.il/online/he/A
A221404 | טחינה | leaf | parent A280204 דבש אורגני, ריבות, ממרחים בריאים טבעוניים | depth 10 | path F>A>F03>A28>A22>F0302>A2802>A2214>F030201>A280204>A221404 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > בישול אפיה ושימורים > דבש, ריבות, ממרחים וממתיקים טבעיים > מכולת > רטבים וממרחים לסלטים ולבישול > טחינה וחמאת שומשום > דבש אורגני, ריבות, ממרחים בריאים טבעוניים > טחינה | url https://www.shufersal.co.il/online/he/c/A221404
F0304 | שימורים ורוטב עגבניות | depth5 | parent A22 בישול אפיה ושימורים | depth 5 | path F>A>F03>A28>A22>F0304 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > בישול אפיה ושימורים > שימורים ורוטב עגבניות | url https://www.shufersal.co.il/online/he/c/F0304
A2802 | מכולת | depth6 | parent F0304 שימורים ורוטב עגבניות | depth 6 | path F>A>F03>A28>A22>F0304>A2802 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > בישול אפיה ושימורים > שימורים ורוטב עגבניות > מכולת | url https://www.shufersal.co.il/online/he/c/A2802
A2217 | שימורי דגים, טונה וירקות | depth7 | parent A2802 מכולת | depth 7 | path F>A>F03>A28>A22>F0304>A2802>A2217 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > בישול אפיה ושימורים > שימורים ורוטב עגבניות > מכולת > שימורי דגים, טונה וירקות | url https://www.shufersal.co.il/online/he/c/A2217
F030401 | מוצרי עגבניות | depth8 | parent A2217 שימורי דגים, טונה וירקות | depth 8 | path F>A>F03>A28>A22>F0304>A2802>A2217>F030401 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > בישול אפיה ושימורים > שימורים ורוטב עגבניות > מכולת > שימורי דגים, טונה וירקות > מוצרי עגבניות | url https://www.shufersal.co.il/online/he/c/F030401
A280213 | שמן, חומץ, קופסאות שימורים אורגני | depth9 | parent F030401 מוצרי עגבניות | depth 9 | path F>A>F03>A28>A22>F0304>A2802>A2217>F030401>A280213 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > בישול אפיה ושימורים > שימורים ורוטב עגבניות > מכולת > שימורי דגים, טונה וירקות > מוצרי עגבניות > שמן, חומץ, קופסאות שימורים אורגני | url https://www.shufersal.co.il/online/he/c/A280213
A221701 | שימורי עגבניות | leaf | parent A280213 שמן, חומץ, קופסאות שימורים אורגני | depth 10 | path F>A>F03>A28>A22>F0304>A2802>A2217>F030401>A280213>A221701 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > בישול אפיה ושימורים > שימורים ורוטב עגבניות > מכולת > שימורי דגים, טונה וירקות > מוצרי עגבניות > שמן, חומץ, קופסאות שימורים אורגני > שימורי עגבניות | url https://www.shufersal.co.il/online/he/c/A221701
F0303 | פסטה, קטניות ואורז | depth5 | parent A22 בישול אפיה ושימורים | depth 5 | path F>A>F03>A28>A22>F0303 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > בישול אפיה ושימורים > פסטה, קטניות ואורז | url https://www.shufersal.co.il/online/he/c/F0303
A2802 | מכולת | depth6 | parent F0303 פסטה, קטניות ואורז | depth 6 | path F>A>F03>A28>A22>F0303>A2802 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > בישול אפיה ושימורים > פסטה, קטניות ואורז > מכולת | url https://www.shufersal.co.il/online/he/c/A2802
A2211 | פסטה, אורז, קוסקוס וקטניות | depth7 | parent A2802 מכולת | depth 7 | path F>A>F03>A28>A22>F0303>A2802>A2211 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > בישול אפיה ושימורים > פסטה, קטניות ואורז > מכולת > פסטה, אורז, קוסקוס וקטניות | url https://www.shufersal.co.il/online/he/c/A2211
F030301 | קטניות ודגנים | depth8 | parent A2211 פסטה, אורז, קוסקוס וקטניות | depth 8 | path F>A>F03>A28>A22>F0303>A2802>A2211>F030301 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > בישול אפיה ושימורים > פסטה, קטניות ואורז > מכולת > פסטה, אורז, קוסקוס וקטניות > קטניות ודגנים | url https://www.shufersal.co.il/online/he/c/F030301
A280225 | פסטה אורז וקטניות אורגניות | depth9 | parent F030301 קטניות ודגנים | depth 9 | path F>A>F03>A28>A22>F0303>A2802>A2211>F030301>A280225 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > בישול אפיה ושימורים > פסטה, קטניות ואורז > מכולת > פסטה, אורז, קוסקוס וקטניות > קטניות ודגנים > פסטה אורז וקטניות אורגניות | url https://www.shufersal.co.il/online/he/c/A280225
A221104 | קטניות | leaf | parent A280225 פסטה אורז וקטניות אורגניות | depth 10 | path F>A>F03>A28>A22>F0303>A2802>A2211>F030301>A280225>A221104 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > בישול אפיה ושימורים > פסטה, קטניות ואורז > מכולת > פסטה, אורז, קוסקוס וקטניות > קטניות ודגנים > פסטה אורז וקטניות אורגניות > קטניות | url https://www.shufersal.co.il/online/he/c/A221104
F0306 | מחיות פרי / סמוזי פירות | depth4 | parent A28 אורגני ובריאות | depth 4 | path F>A>F03>A28>F0306 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מחיות פרי / סמוזי פירות | url https://www.shufersal.co.il/online/he/c/F0306
A2803 | דגנים, משקאות ומתוקים | depth5 | parent F0306 מחיות פרי / סמוזי פירות | depth 5 | path F>A>F03>A28>F0306>A2803 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מחיות פרי / סמוזי פירות > דגנים, משקאות ומתוקים | url https://www.shufersal.co.il/online/he/c/A2803
F030601 | מחיות פרי לשתיה | depth6 | parent A2803 דגנים, משקאות ומתוקים | depth 6 | path F>A>F03>A28>F0306>A2803>F030601 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מחיות פרי / סמוזי פירות > דגנים, משקאות ומתוקים > מחיות פרי לשתיה | url https://www.shufersal.co.il/online/he/c/F030601
A280307 | מיצים ותרכיזים ומחיות פרי | leaf | parent F030601 מחיות פרי לשתיה | depth 7 | path F>A>F03>A28>F0306>A2803>F030601>A280307 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מחיות פרי / סמוזי פירות > דגנים, משקאות ומתוקים > מחיות פרי לשתיה > מיצים ותרכיזים ומחיות פרי | url https://www.shufersal.co.il/online/he/c/A280307
F030602 | מחיות פרי עם כפית | depth6 | parent A2803 דגנים, משקאות ומתוקים | depth 6 | path F>A>F03>A28>F0306>A2803>F030602 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מחיות פרי / סמוזי פירות > דגנים, משקאות ומתוקים > מחיות פרי עם כפית | url https://www.shufersal.co.il/online/he/c/F030602
A280307 | מיצים ותרכיזים ומחיות פרי | leaf | parent F030602 מחיות פרי עם כפית | depth 7 | path F>A>F03>A28>F0306>A2803>F030602>A280307 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מחיות פרי / סמוזי פירות > דגנים, משקאות ומתוקים > מחיות פרי עם כפית > מיצים ותרכיזים ומחיות פרי | url https://www.shufersal.co.il/online/he/c/A280307
F0302 | דבש, ריבות, ממרחים וממתיקים טבעיים | depth4 | parent A28 אורגני ובריאות | depth 4 | path F>A>F03>A28>F0302 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > דבש, ריבות, ממרחים וממתיקים טבעיים | url https://www.shufersal.co.il/online/he/c/F0302
A2802 | מכולת | depth5 | parent F0302 דבש, ריבות, ממרחים וממתיקים טבעיים | depth 5 | path F>A>F03>A28>F0302>A2802 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > דבש, ריבות, ממרחים וממתיקים טבעיים > מכולת | url https://www.shufersal.co.il/online/he/c/A2802
F030203 | סירופ מייפל | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0302>A2802>F030203 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > דבש, ריבות, ממרחים וממתיקים טבעיים > מכולת > סירופ מייפל | url https://www.shufersal.co.il/online/he/c/F030203
A280204 | דבש אורגני, ריבות, ממרחים בריאים טבעוניים | leaf | parent F030203 סירופ מייפל | depth 7 | path F>A>F03>A28>F0302>A2802>F030203>A280204 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > דבש, ריבות, ממרחים וממתיקים טבעיים > מכולת > סירופ מייפל > דבש אורגני, ריבות, ממרחים בריאים טבעוניים | url https://www.shufersal.co.il/online/he/c/A280204
F030202 | דבש וסילאן | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0302>A2802>F030202 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > דבש, ריבות, ממרחים וממתיקים טבעיים > מכולת > דבש וסילאן | url https://www.shufersal.co.il/online/he/c/F030202
A280204 | דבש אורגני, ריבות, ממרחים בריאים טבעוניים | leaf | parent F030202 דבש וסילאן | depth 7 | path F>A>F03>A28>F0302>A2802>F030202>A280204 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > דבש, ריבות, ממרחים וממתיקים טבעיים > מכולת > דבש וסילאן > דבש אורגני, ריבות, ממרחים בריאים טבעוניים | url https://www.shufersal.co.il/online/he/c/A280204
F030207 | ממרחים שונים | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0302>A2802>F030207 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > דבש, ריבות, ממרחים וממתיקים טבעיים > מכולת > ממרחים שונים | url https://www.shufersal.co.il/online/he/c/F030207
A280204 | דבש אורגני, ריבות, ממרחים בריאים טבעוניים | leaf | parent F030207 ממרחים שונים | depth 7 | path F>A>F03>A28>F0302>A2802>F030207>A280204 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > דבש, ריבות, ממרחים וממתיקים טבעיים > מכולת > ממרחים שונים > דבש אורגני, ריבות, ממרחים בריאים טבעוניים | url https://www.shufersal.co.il/online/he/c/A280204
A500501 | Online Only | depth7 | parent F030207 ממרחים שונים | depth 7 | path F>A>F03>A28>F0302>A2802>F030207>A500501 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > דבש, ריבות, ממרחים וממתיקים טבעיים > מכולת > ממרחים שונים > Online Only | url https://www.shufersal.co.il/online/he/c/A500501
A280204 | דבש אורגני, ריבות, ממרחים בריאים טבעוניים | leaf | parent A500501 Online Only | depth 8 | path F>A>F03>A28>F0302>A2802>F030207>A500501>A280204 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > דבש, ריבות, ממרחים וממתיקים טבעיים > מכולת > ממרחים שונים > Online Only > דבש אורגני, ריבות, ממרחים בריאים טבעוניים | url https://www.shufersal.co.il/online/he/c/A280204
F030206 | ריבות וחלבה | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0302>A2802>F030206 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > דבש, ריבות, ממרחים וממתיקים טבעיים > מכולת > ריבות וחלבה | url https://www.shufersal.co.il/online/he/c/F030206
F030205 | חלבה | depth7 | parent F030206 ריבות וחלבה | depth 7 | path F>A>F03>A28>F0302>A2802>F030206>F030205 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > דבש, ריבות, ממרחים וממתיקים טבעיים > מכולת > ריבות וחלבה > חלבה | url https://www.shufersal.co.il/online/he/c/F030205
A280204 | דבש אורגני, ריבות, ממרחים בריאים טבעוניים | leaf | parent F030205 חלבה | depth 8 | path F>A>F03>A28>F0302>A2802>F030206>F030205>A280204 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > דבש, ריבות, ממרחים וממתיקים טבעיים > מכולת > ריבות וחלבה > חלבה > דבש אורגני, ריבות, ממרחים בריאים טבעוניים | url https://www.shufersal.co.il/online/he/c/A280204
A280204 | דבש אורגני, ריבות, ממרחים בריאים טבעוניים | leaf | parent F030206 ריבות וחלבה | depth 7 | path F>A>F03>A28>F0302>A2802>F030206>A280204 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > דבש, ריבות, ממרחים וממתיקים טבעיים > מכולת > ריבות וחלבה > דבש אורגני, ריבות, ממרחים בריאים טבעוניים | url https://www.shufersal.co.il/online/he/c/A280204
F0305 | שמן / חומץ | depth4 | parent A28 אורגני ובריאות | depth 4 | path F>A>F03>A28>F0305 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שמן / חומץ | url https://www.shufersal.co.il/online/he/c/F0305
A2802 | מכולת | depth5 | parent F0305 שמן / חומץ | depth 5 | path F>A>F03>A28>F0305>A2802 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שמן / חומץ > מכולת | url https://www.shufersal.co.il/online/he/c/A2802
F030502 | שמן זית | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0305>A2802>F030502 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שמן / חומץ > מכולת > שמן זית | url https://www.shufersal.co.il/online/he/c/F030502
A280205 | שמן וחומץ | leaf | parent F030502 שמן זית | depth 7 | path F>A>F03>A28>F0305>A2802>F030502>A280205 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שמן / חומץ > מכולת > שמן זית > שמן וחומץ | url https://www.shufersal.co.il/online/he/c/A280205
F030503 | חומץ ומיץ לימון | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0305>A2802>F030503 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שמן / חומץ > מכולת > חומץ ומיץ לימון | url https://www.shufersal.co.il/online/he/c/F030503
A280205 | שמן וחומץ | leaf | parent F030503 חומץ ומיץ לימון | depth 7 | path F>A>F03>A28>F0305>A2802>F030503>A280205 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שמן / חומץ > מכולת > חומץ ומיץ לימון > שמן וחומץ | url https://www.shufersal.co.il/online/he/c/A280205
F030501 | שמנים צמחיים ומיוחדים | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0305>A2802>F030501 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שמן / חומץ > מכולת > שמנים צמחיים ומיוחדים | url https://www.shufersal.co.il/online/he/c/F030501
A280205 | שמן וחומץ | leaf | parent F030501 שמנים צמחיים ומיוחדים | depth 7 | path F>A>F03>A28>F0305>A2802>F030501>A280205 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שמן / חומץ > מכולת > שמנים צמחיים ומיוחדים > שמן וחומץ | url https://www.shufersal.co.il/online/he/c/A280205
F030504 | שמן לבישול ואפיה | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0305>A2802>F030504 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שמן / חומץ > מכולת > שמן לבישול ואפיה | url https://www.shufersal.co.il/online/he/c/F030504
F030501 | שמנים צמחיים ומיוחדים | depth7 | parent F030504 שמן לבישול ואפיה | depth 7 | path F>A>F03>A28>F0305>A2802>F030504>F030501 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שמן / חומץ > מכולת > שמן לבישול ואפיה > שמנים צמחיים ומיוחדים | url https://www.shufersal.co.il/online/he/c/F030501
A280205 | שמן וחומץ | leaf | parent F030501 שמנים צמחיים ומיוחדים | depth 8 | path F>A>F03>A28>F0305>A2802>F030504>F030501>A280205 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שמן / חומץ > מכולת > שמן לבישול ואפיה > שמנים צמחיים ומיוחדים > שמן וחומץ | url https://www.shufersal.co.il/online/he/c/A280205
F0304 | שימורים ורוטב עגבניות | depth4 | parent A28 אורגני ובריאות | depth 4 | path F>A>F03>A28>F0304 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שימורים ורוטב עגבניות | url https://www.shufersal.co.il/online/he/c/F0304
A2802 | מכולת | depth5 | parent F0304 שימורים ורוטב עגבניות | depth 5 | path F>A>F03>A28>F0304>A2802 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שימורים ורוטב עגבניות > מכולת | url https://www.shufersal.co.il/online/he/c/A2802
F030401 | מוצרי עגבניות | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0304>A2802>F030401 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שימורים ורוטב עגבניות > מכולת > מוצרי עגבניות | url https://www.shufersal.co.il/online/he/c/F030401
A280213 | שמן, חומץ, קופסאות שימורים אורגני | leaf | parent F030401 מוצרי עגבניות | depth 7 | path F>A>F03>A28>F0304>A2802>F030401>A280213 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שימורים ורוטב עגבניות > מכולת > מוצרי עגבניות > שמן, חומץ, קופסאות שימורים אורגני | url https://www.shufersal.co.il/online/he/c/A280213
F030404 | שימורי זיתים | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0304>A2802>F030404 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שימורים ורוטב עגבניות > מכולת > שימורי זיתים | url https://www.shufersal.co.il/online/he/c/F030404
A280213 | שמן, חומץ, קופסאות שימורים אורגני | leaf | parent F030404 שימורי זיתים | depth 7 | path F>A>F03>A28>F0304>A2802>F030404>A280213 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שימורים ורוטב עגבניות > מכולת > שימורי זיתים > שמן, חומץ, קופסאות שימורים אורגני | url https://www.shufersal.co.il/online/he/c/A280213
F030402 | שימורי ירקות/פירות | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0304>A2802>F030402 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שימורים ורוטב עגבניות > מכולת > שימורי ירקות/פירות | url https://www.shufersal.co.il/online/he/c/F030402
A280213 | שמן, חומץ, קופסאות שימורים אורגני | leaf | parent F030402 שימורי ירקות/פירות | depth 7 | path F>A>F03>A28>F0304>A2802>F030402>A280213 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > שימורים ורוטב עגבניות > מכולת > שימורי ירקות/פירות > שמן, חומץ, קופסאות שימורים אורגני | url https://www.shufersal.co.il/online/he/c/A280213
F0303 | פסטה, קטניות ואורז | depth4 | parent A28 אורגני ובריאות | depth 4 | path F>A>F03>A28>F0303 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > פסטה, קטניות ואורז | url https://www.shufersal.co.il/online/he/c/F0303
A2802 | מכולת | depth5 | parent F0303 פסטה, קטניות ואורז | depth 5 | path F>A>F03>A28>F0303>A2802 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > פסטה, קטניות ואורז > מכולת | url https://www.shufersal.co.il/online/he/c/A2802
F030301 | קטניות ודגנים | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0303>A2802>F030301 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > פסטה, קטניות ואורז > מכולת > קטניות ודגנים | url https://www.shufersal.co.il/online/he/c/F030301
A280225 | פסטה אורז וקטניות אורגניות | leaf | parent F030301 קטניות ודגנים | depth 7 | path F>A>F03>A28>F0303>A2802>F030301>A280225 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > פסטה, קטניות ואורז > מכולת > קטניות ודגנים > פסטה אורז וקטניות אורגניות | url https://www.shufersal.co.il/online/he/c/A280225
F030303 | אורז | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0303>A2802>F030303 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > פסטה, קטניות ואורז > מכולת > אורז | url https://www.shufersal.co.il/online/he/c/F030303
A280225 | פסטה אורז וקטניות אורגניות | leaf | parent F030303 אורז | depth 7 | path F>A>F03>A28>F0303>A2802>F030303>A280225 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > פסטה, קטניות ואורז > מכולת > אורז > פסטה אורז וקטניות אורגניות | url https://www.shufersal.co.il/online/he/c/A280225
F0301 | מוצרי בישול ואפיה | depth4 | parent A28 אורגני ובריאות | depth 4 | path F>A>F03>A28>F0301 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מוצרי בישול ואפיה | url https://www.shufersal.co.il/online/he/c/F0301
A2802 | מכולת | depth5 | parent F0301 מוצרי בישול ואפיה | depth 5 | path F>A>F03>A28>F0301>A2802 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מוצרי בישול ואפיה > מכולת | url https://www.shufersal.co.il/online/he/c/A2802
F030106 | עזרי בישול ותבלינים | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0301>A2802>F030106 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מוצרי בישול ואפיה > מכולת > עזרי בישול ותבלינים | url https://www.shufersal.co.il/online/he/c/F030106
A280216 | תבלינים, מרקים ורטבים אורגניים | depth7 | parent F030106 עזרי בישול ותבלינים | depth 7 | path F>A>F03>A28>F0301>A2802>F030106>A280216 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מוצרי בישול ואפיה > מכולת > עזרי בישול ותבלינים > תבלינים, מרקים ורטבים אורגניים | url https://www.shufersal.co.il/online/he/c/A280216
A280210 | מוצרי יסוד ואפייה אורגניים | leaf | parent A280216 תבלינים, מרקים ורטבים אורגניים | depth 8 | path F>A>F03>A28>F0301>A2802>F030106>A280216>A280210 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מוצרי בישול ואפיה > מכולת > עזרי בישול ותבלינים > תבלינים, מרקים ורטבים אורגניים > מוצרי יסוד ואפייה אורגניים | url https://www.shufersal.co.il/online/he/c/A280210
F030104 | אבקות תערובות ותמציות | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0301>A2802>F030104 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מוצרי בישול ואפיה > מכולת > אבקות תערובות ותמציות | url https://www.shufersal.co.il/online/he/c/F030104
A280210 | מוצרי יסוד ואפייה אורגניים | leaf | parent F030104 אבקות תערובות ותמציות | depth 7 | path F>A>F03>A28>F0301>A2802>F030104>A280210 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מוצרי בישול ואפיה > מכולת > אבקות תערובות ותמציות > מוצרי יסוד ואפייה אורגניים | url https://www.shufersal.co.il/online/he/c/A280210
F030107 | פירורי לחם | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0301>A2802>F030107 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מוצרי בישול ואפיה > מכולת > פירורי לחם | url https://www.shufersal.co.il/online/he/c/F030107
A280210 | מוצרי יסוד ואפייה אורגניים | leaf | parent F030107 פירורי לחם | depth 7 | path F>A>F03>A28>F0301>A2802>F030107>A280210 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מוצרי בישול ואפיה > מכולת > פירורי לחם > מוצרי יסוד ואפייה אורגניים | url https://www.shufersal.co.il/online/he/c/A280210
F030105 | מלח | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0301>A2802>F030105 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מוצרי בישול ואפיה > מכולת > מלח | url https://www.shufersal.co.il/online/he/c/F030105
A280210 | מוצרי יסוד ואפייה אורגניים | leaf | parent F030105 מלח | depth 7 | path F>A>F03>A28>F0301>A2802>F030105>A280210 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מוצרי בישול ואפיה > מכולת > מלח > מוצרי יסוד ואפייה אורגניים | url https://www.shufersal.co.il/online/he/c/A280210
F030103 | אוריינטלי | depth6 | parent A2802 מכולת | depth 6 | path F>A>F03>A28>F0301>A2802>F030103 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מוצרי בישול ואפיה > מכולת > אוריינטלי | url https://www.shufersal.co.il/online/he/c/F030103
A280228 | מוצרים אורגניים | depth7 | parent F030103 אוריינטלי | depth 7 | path F>A>F03>A28>F0301>A2802>F030103>A280228 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מוצרי בישול ואפיה > מכולת > אוריינטלי > מוצרים אורגניים | url https://www.shufersal.co.il/online/he/c/A280228
A280210 | מוצרי יסוד ואפייה אורגניים | leaf | parent A280228 מוצרים אורגניים | depth 8 | path F>A>F03>A28>F0301>A2802>F030103>A280228>A280210 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > אורגני ובריאות > מוצרי בישול ואפיה > מכולת > אוריינטלי > מוצרים אורגניים > מוצרי יסוד ואפייה אורגניים | url https://www.shufersal.co.il/online/he/c/A280210
A44 | שבועות | depth3 | parent F03 בישול אפיה ממרחים ושימורים | depth 3 | path F>A>F03>A44 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > שבועות | url https://www.shufersal.co.il/online/he/c/A44
A28 | אורגני ובריאות | depth4 | parent A44 שבועות | depth 4 | path F>A>F03>A44>A28 | pathHe green בריאות וטבע > סופרמרקט > בישול אפיה ממרחים ושימורים > שבועות > אורגני ובריאות | url https://www.shufersal.co.il/online/he/c/A28
